,adk,atpA,dxr,glyA,recA,sodA,tpi,mlst_clade
447,1,1,2,73,1,5,1,1
448,1,11,2,1,1,5,1,1
449,1,1,2,73,1,3,1,1
450,1,45,2,1,5,3,1,1
451,3,7,20,64,6,16,10,4
452,9,7,2,8,6,2,15,4
453,1,1,2,6,1,12,12,1
454,1,1,6,1,4,3,15,1
455,1,3,2,1,5,3,1,1
456,1,1,2,1,4,3,4,1
457,1,1,2,1,4,3,15,1
458,1,1,8,1,4,3,15,1
459,1,6,8,7,2,8,7,3
460,1,1,6,6,1,12,3,1
461,1,4,7,1,1,3,12,1
462,2,5,8,1,1,3,56,1
463,1,3,2,1,1,1,3,1
464,4,1,2,5,1,60,16,1
465,3,5,10,8,7,2,6,4
466,45,7,10,14,42,20,9,4
467,1,6,4,7,1,8,31,3
468,1,1,2,1,5,1,1,1
469,11,7,4,74,6,20,9,4
470,1,1,7,1,1,3,1,1
471,1,1,2,6,1,1,1,1
472,1,7,7,5,1,3,3,1
473,11,7,14,8,6,20,10,4
474,1,1,16,1,44,5,1,1
475,1,2,2,1,1,1,1,1
476,1,5,2,1,5,2,1,1
477,2,1,16,1,1,62,1,1
478,1,1,11,1,1,22,4,2
479,1,1,2,1,1,7,3,1
480,1,1,10,9,1,3,2,2
481,1,1,24,34,1,3,3,1
482,1,1,24,16,1,3,1,1
483,1,1,51,35,1,1,1,1
484,3,7,3,8,11,20,11,4
485,1,1,9,6,1,3,5,2
486,1,5,9,23,1,1,18,2
487,11,32,49,14,6,20,6,4
488,2,1,2,1,1,5,1,1
489,2,1,6,1,5,3,1,1
490,40,5,9,77,1,3,38,2
491,1,1,2,6,5,7,1,1
492,3,7,14,8,11,16,15,4
493,11,7,10,43,6,20,9,4
494,1,1,2,15,1,5,1,1
495,3,7,56,8,7,2,15,4
496,11,25,10,42,6,63,15,4
497,48,1,2,1,1,5,1,1
498,1,1,9,9,1,3,74,2
499,1,1,2,1,40,3,1,1
500,1,1,6,6,1,12,1,1
501,1,53,11,17,1,3,2,2
502,1,1,55,6,1,6,1,1
503,47,5,11,23,1,3,1,2
504,1,6,4,7,2,3,7,3
505,11,7,14,78,6,20,10,4
506,14,54,26,1,4,3,1,1
507,2,1,7,5,1,5,1,1
508,1,1,7,1,1,1,3,1
509,52,1,6,4,3,5,1,1
510,11,55,10,14,6,20,9,4
511,1,1,2,86,1,7,1,1
512,1,1,2,1,2,1,1,1
513,3,7,14,8,6,25,80,4
514,1,1,2,1,3,3,1,1
515,1,1,6,80,5,3,1,1
516,1,5,11,81,1,3,78,1
517,5,8,5,11,9,68,8,5
518,1,1,57,1,5,3,1,1
519,11,7,10,83,42,20,10,4
520,11,7,10,46,6,20,10,4
521,1,1,2,6,47,5,1,1
522,1,1,9,84,1,3,2,1
523,11,7,10,14,6,67,76,4
524,1,56,2,1,5,3,1,1
525,51,1,6,1,1,5,1,1
526,1,1,2,85,5,3,1,1
527,1,1,6,1,46,6,1,1
528,11,55,14,82,6,20,77,4
529,1,1,6,5,1,3,1,1
530,56,1,2,1,5,3,1,1
531,1,1,9,1,1,3,5,2
532,1,1,2,16,1,60,6,1
533,1,59,2,1,1,3,81,1
534,1,1,13,1,1,5,82,1
535,3,7,60,8,7,2,10,4
536,1,1,2,6,1,70,1,1
537,1,4,6,1,4,3,4,1
538,1,1,6,1,4,3,1,1
539,1,1,1,1,1,3,5,1
540,11,7,14,42,6,20,15,4
541,11,7,10,42,6,20,10,4
542,1,11,25,34,1,1,1,1
543,1,5,9,37,1,1,78,2
544,4,1,2,1,3,1,1,1
545,1,1,2,3,4,3,1,1
546,37,5,11,23,1,3,1,2
547,1,1,2,1,1,3,46,1
548,1,1,2,9,1,22,2,2
549,2,1,6,85,8,5,3,1
550,20,2,2,1,1,23,1,1
551,3,7,14,8,6,25,10,4
552,1,1,11,5,1,33,2,2
553,1,1,11,9,1,3,2,2
554,1,1,6,3,1,1,6,1
555,21,1,7,6,1,1,1,1
556,1,1,53,1,5,3,1,1
557,1,1,2,1,5,60,3,1
558,1,1,6,1,4,1,4,1
559,3,7,14,8,6,2,37,4
560,1,1,7,1,4,3,4,1
561,1,43,9,23,1,64,18,2
562,11,32,49,14,6,20,10,4
563,1,5,9,9,1,1,1,2
564,36,1,2,1,1,7,1,1
565,1,6,4,7,2,72,7,3
566,1,1,2,1,51,1,1,1
567,1,1,2,15,8,3,1,1
568,11,7,10,43,6,20,47,4
569,1,1,2,1,1,19,6,1
570,37,1,2,1,1,22,1,2
571,1,1,2,1,5,54,1,1
572,1,3,6,1,52,1,3,1
573,59,7,14,46,6,20,15,4
574,60,7,10,8,6,20,10,4
575,1,6,4,92,2,8,7,3
576,61,7,14,14,11,16,15,4
577,3,7,3,93,6,2,15,4
578,2,5,8,1,1,74,6,1
579,3,7,10,8,7,75,10,4
580,2,5,8,1,1,3,84,1
581,5,8,5,27,15,76,23,5
582,1,1,6,94,1,12,12,1
583,1,3,6,1,1,1,85,1
584,1,3,7,96,3,1,6,1
585,1,2,9,1,1,3,5,2
586,1,5,6,5,1,33,1,1
587,1,1,2,5,1,33,5,1
588,1,1,6,16,8,3,1,1
589,5,8,5,47,9,11,8,5
590,1,1,2,3,5,3,1,1
591,3,7,14,8,6,2,80,4
592,2,2,2,1,1,1,1,1
593,11,7,10,43,54,20,15,4
594,1,11,2,1,1,1,1,1
595,1,1,2,1,1,12,6,1
596,1,1,6,15,1,1,1,1
597,1,5,9,23,1,64,38,2
598,1,1,2,5,1,33,2,1
599,37,1,1,1,1,3,2,2
600,1,1,13,1,1,17,6,1
601,1,1,1,10,4,3,5,2
602,1,1,2,9,1,22,5,2
603,1,43,9,23,1,1,18,2
604,3,7,10,8,7,18,10,4
605,55,1,2,1,5,3,1,1
606,11,7,14,43,6,67,47,4
607,55,1,2,73,1,3,72,1
608,55,50,2,35,6,3,8,1
609,1,1,2,35,1,5,15,1
610,1,1,2,35,1,5,4,1
611,55,1,14,35,1,1,1,1
612,55,1,14,35,1,4,1,1
613,55,7,2,35,1,12,12,1
614,52,1,6,35,1,12,1,1
615,55,8,6,35,1,63,82,1
616,55,3,2,81,1,1,1,1
617,1,50,2,35,1,12,12,1
618,11,50,2,35,1,1,1,1
619,55,1,2,73,1,5,1,1
620,1,1,6,81,46,3,15,1
621,1,1,74,9,1,3,2,2
622,110,78,73,154,65,133,119,cryptic
623,71,78,73,155,90,92,97,cryptic
624,30,41,43,59,34,53,58,cryptic
625,71,78,73,122,65,92,97,cryptic
626,71,78,73,122,65,92,97,cryptic
627,109,41,104,156,89,108,127,cryptic
628,13,46,22,33,18,31,26,cryptic
629,13,46,22,33,18,31,26,cryptic
630,13,46,22,108,18,32,28,cryptic
631,13,46,64,31,18,32,26,cryptic
632,30,63,65,97,57,53,86,cryptic
633,70,77,71,110,64,91,95,cryptic
634,13,18,22,31,18,31,26,cryptic
635,13,19,22,32,19,32,28,cryptic
636,13,17,23,30,17,31,27,cryptic
